lagoslakeid,LakeID
4830,L0288
8514,L0316
5397,L0406
7033,L0426
4433,L0691
7340,L0702
6301,L0789
136303,L0799
56019,L0802
6214,L0815
26841,L0829
113873,L0839
67429,L0840
111865,L0852
6070,L0857
7447,L0861
123328,L0865
133407,L0868
63080,L0879
130135,L0885
6075,L0888
39362,L0901
135452,L0907
133439,L0911
121089,L0912
43622,L0916
30935,L0919
6208,L0926
101415,L0927
25646,L0928
84945,L0929
122138,L0938
112900,L0945
42413,L0953
52808,L0955
25625,L0965
4032,L0966
6076,L0973
7117,L0974
47538,L0976
49620,L0977
88095,L0978
136466,L0979
6557,L0980
140541,L0983
136468,L0984
10987,L0985
26660,L0987
131352,L0994
80721,L0999
1490,L1002
6505,L1003
6395,L1004
7401,L1006
7453,L1008
505,L1010
90332,L1013
6487,L1014
78634,L1015
6471,L1018
7448,L1022
6068,L1026
6196,L1027
601,L1031
5726,L1035
604,L1038
2458,L1039
6069,L1040
6198,L1042
119108,L1044
7457,L1045
55007,L1049
70422,L1055
1284,L1057
36107,L1060
2797,L1069
135329,L1079
82971,L1080
1862,L1082
6192,L1086
81957,L1087
2998,L1088
6458,L1089
6220,L1090
3348,L1093
1981,L1099
3144,L1100
6211,L1104
5725,L1105
6210,L1105
6209,L1106
595,L1107
6218,L1108
115760,L1112
6057,L1114
1613,L1115
133500,L1118
3587,L1120
5722,L1122
6193,L1123
6194,L1125
6226,L1127
41495,L1129
6179,L1134
6180,L1134
6073,L1135
6228,L1136
6212,L1140
39357,L1141
6200,L1142
6186,L1149
7158,L1150
3953,L1151
3437,L1152
120170,L1155
11123,L1156
94414,L1158
36121,L1160
2112,L1161
34040,L1165
6216,L1167
90311,L1167
5727,L1169
28809,L1169
36111,L1169
11129,L1171
115995,L1172
3997,L1173
6059,L1174
6191,L1175
459,L1176
38285,L1180
4082,L1183
1119,L1185
3650,L1185
1609,L1188
2382,L1188
563,L1189
3645,L1189
1899,L1190
66367,L1191
6060,L1193
951,L1194
1409,L1194
2915,L1194
19397,L1197
2967,L1198
137300,L1199
2252,L1204
2450,L1205
993,L1209
6298,L1210
1821,L1211
99307,L1212
1924,L1214
3330,L1214
2141,L1215
1715,L1216
3793,L1218
103618,L1220
6984,L1223
136311,L1225
4103,L1228
3910,L1229
4187,L1229
1014,L1232
3764,L1233
2993,L1235
4112,L1236
43607,L1237
124407,L1237
28836,L1238
1245,L1239
2368,L1241
893,L1243
502,L1249
1017,L1250
626,L1253
3554,L1253
846,L1258
2383,L1260
4078,L1261
2056,L1263
122324,L1264
4058,L1266
1281,L1267
102576,L1268
78556,L1272
4172,L1273
1130,L1275
483,L1276
3423,L1277
3972,L1279
3471,L1280
1304,L1281
1419,L1282
1637,L1285
6188,L1287
6187,L1288
73287,L1289
86128,L1292
3770,L1293
2819,L1295
3066,L1296
150,L1297
2784,L1299
2681,L1302
4027,L1304
1519,L1308
431,L1310
9523,L1311
3271,L1312
29890,L1313
2202,L1314
786,L1317
6181,L1318
6310,L1319
1728,L1320
2930,L1321
2050,L1322
4114,L1323
2007,L1328
45620,L1329
5733,L1330
472,L1332
6182,L1336
739,L1337
7030,L1338
451,L1339
1170,L1340
3951,L1341
46662,L1342
121236,L1344
4034,L1350
6206,L1352
3790,L1353
2301,L1355
4311,L1357
23710,L1359
6183,L1361
3595,L1362
3833,L1366
6071,L1368
910,L1370
1238,L1371
1008,L1373
6072,L1374
2348,L1376
2350,L1379
6058,L1380
2543,L1381
2907,L1382
3004,L1384
2821,L1385
2742,L1388
1877,L1390
129083,L1391
498,L1393
3984,L1394
713,L1395
2271,L1396
127213,L1397
2393,L1398
125428,L1400
134511,L1403
2972,L1404
