"","Lat","Lon","StudyID","UniqueLakeName","optional"
"1",40.53,-84.5,"1","L1694",TRUE
"2",24.84,102.55,"2","L0280",TRUE
"3",55.65,109.78,"12","L7894",TRUE
"4",51.76,104.42,"12","L7894",TRUE
"5",52.19,106.09,"12","L7894",TRUE
"6",52.21,106.11,"12","L7894",TRUE
"7",52.8,107.16,"12","L7894",TRUE
"8",53.35,107.5,"12","L7894",TRUE
"9",53.88,109.17,"12","L7894",TRUE
"10",54.54,108.95,"12","L7894",TRUE
"11",54.79,109.24,"12","L7894",TRUE
"12",51.7,104.32,"12","L7894",TRUE
"13",51.65,104.42,"12","L7894",TRUE
"14",51.74,105.31,"12","L7894",TRUE
"15",51.88,105.88,"12","L7894",TRUE
"16",53.16,107.02,"12","L7894",TRUE
"17",51.57,104.53,"12","L7894",TRUE
"18",-41.35,-71.52,"13","L0014",TRUE
"19",-41.25,-71.28,"13","L0015",TRUE
"20",-41.18,-71.32,"13","L0016",TRUE
"21",-41.08,-71.45,"13","L0017",TRUE
"22",-41.08,-71.18,"13","L0018",TRUE
"23",-41.07,-71.05,"13","L0019",TRUE
"24",-41.05,-71.5,"13","L0020",TRUE
"25",-41.03,-71.55,"13","L0021",TRUE
"26",-36.8,-57.78,"13","L0036",TRUE
"27",-35.85,-57.87,"13","L0037",TRUE
"28",-35.82,-57.82,"13","L0038",TRUE
"29",-35.78,-57.87,"13","L0039",TRUE
"30",-35.67,-57.81,"13","L0041",TRUE
"31",-35.62,-57.8,"13","L0042",TRUE
"32",-35.6,-58.03,"13","L0043",TRUE
"33",-35.58,-57.9,"13","L0046",TRUE
"34",-35.53,-58.12,"13","L0047",TRUE
"35",-35.42,-57.55,"13","L0049",TRUE
"36",30.93,119.9,"14","L0402",TRUE
"37",43.23,-86.29,"19","L3285",TRUE
"38",30.22,114.2,"20","L0370",TRUE
"39",-33.52,-53.13,"22","L0053",TRUE
"40",54.96,9.29,"26","L8063",TRUE
"41",54.97,9.28,"26","L8064",TRUE
"42",54.97,9.28,"26","L8065",TRUE
"43",54.97,9.31,"26","L8066",TRUE
"44",55.06,9.31,"26","L8068",TRUE
"45",55.06,9.31,"26","L8069",TRUE
"46",55.06,9.31,"26","L8070",TRUE
"47",55.07,9.29,"26","L8071",TRUE
"48",55.07,9.29,"26","L8072",TRUE
"49",55.07,9.28,"26","L8073",TRUE
"50",55.09,9.3,"26","L8074",TRUE
"51",55.09,9.32,"26","L8075",TRUE
