uniqueID,UniqueLakeName,StudyID,Year,Month,Lat,Lon,LakeName,ChlValues,TP,TN,DOC,DO,LakeVolume,SurfaceArea,Depth.mean,Depth.max,Secchi,pH
newid005403,L1694,1,,,40.53,-84.5,Grand Lake St. Marys,0.0419,,,7.13,,,,,,0.279,10
newid003025,L0280,2,,,24.8380918,102.5532465,Dianchi Lake,1.00E-04,0.16,2.37,,,,,,,,8.89
newid014041,L7894,12,2013,,55.64858,109.7818,Lake Baikal,0.0028,,,,,,,,,,
newid014042,L7894,12,2013,,51.75867,104.4242,Lake Baikal,0.0038,,,,,,,,,,
newid014043,L7894,12,2013,,52.185,106.094,Lake Baikal,0.0013,,,,,,,,,,
newid014044,L7894,12,2013,,52.214,106.11,Lake Baikal,0.0076,,,,,,,,,,
newid014045,L7894,12,2013,,52.798,107.158,Lake Baikal,0.001,,,,,,,,,,
newid014046,L7894,12,2013,,53.352,107.505,Lake Baikal,8.00E-04,,,,,,,,,,
newid014047,L7894,12,2013,,53.875,109.165,Lake Baikal,8.00E-04,,,,,,,,,,
newid014048,L7894,12,2013,,54.544,108.95,Lake Baikal,8.00E-04,,,,,,,,,,
newid014049,L7894,12,2013,,54.79206,109.2376,Lake Baikal,4.00E-04,,,,,,,,,,
newid014050,L7894,12,2013,,51.7,104.317,Lake Baikal,4.00E-04,,,,,,,,,,
newid014051,L7894,12,2013,,51.651,104.416,Lake Baikal,4.00E-04,,,,,,,,,,
newid014052,L7894,12,2013,,51.744,105.314,Lake Baikal,3.00E-04,,,,,,,,,,
newid014053,L7894,12,2013,,51.88,105.878,Lake Baikal,0.0011,,,,,,,,,,
newid014054,L7894,12,2013,,53.156,107.019,Lake Baikal,4.00E-04,,,,,,,,,,
newid014055,L7894,12,2013,,51.568,104.529,Lake Baikal,4.00E-04,,,,,,,,,,
newid000107,L0014,13,2006,2,-41.35,-71.51666667,Juventus,0.0024,0.0099,,,,,0.04,,11,,
newid000108,L0015,13,2006,2,-41.25,-71.28333333,Patos ,0.0032,0.0096,,,,,0.01,,0.7,,
newid000109,L0016,13,2005,11,-41.1763314,-71.3230519,Ãireco,9.00E-04,0.0503,,,,,1.00E-04,,1,,
newid000110,L0016,13,2006,2,-41.1763314,-71.3230519,Ãireco,5.00E-04,0.0047,,,,,0.01,,1,,
newid000111,L0017,13,2005,1,-41.0833333,-71.45,Fantasma ,0.0124,0.0516,,,,,1.00E-04,,0.5,,
newid000112,L0018,13,2005,11,-41.0833333,-71.18333333,?ù®irihuau,0.0011,0.014,,,,,1.00E-04,,1,,
newid000113,L0019,13,2005,1,-41.0666667,-71.05,Juncos ,0.0252,0.5204,,,,,0.07,,1.5,,
newid000114,L0020,13,2006,2,-41.05,-71.5,Ezquerra ,0.0031,0.014,,,,,0.1,,3.5,,
newid000115,L0021,13,2006,2,-41.0333333,-71.55,Escondido,0.0013,0.0068,,,,,0.1,,8,,
