uniqueID,TP.units,TP.value,TN.units,TN.value,PO4.units,PO4.value,NO3NO2.units,NO3NO2.value,DOC.units,DOC.value,DO.units,DO.value,NH3.units,NH3.value
V100000001,,,,,,,,,mg/L,0.00083,,,,
V100000002,,,,,,,,,mg/L,0.00064,,,,
V100000003,,,,,,,,,mg/L,0.00087,,,,
V100000004,,,,,,,,,mg/L,2.00E-05,,,,
V100000005,,,,,,,,,mg/L,4.00E-05,,,,
V100000006,,,,,,,,,mg/L,0.00088,,,,
V100000007,,,,,,,,,mg/L,0.00064,,,,
V100000008,,,,,,,,,mg/L,0.00026,,,,
V100000009,,,,,,,,,mg/L,0.00027,,,,
V100000010,,,,,,,,,mg/L,0.00068,,,,
V100000011,,,,,,,,,mg/L,4.00E-04,,,,
V100000012,,,,,,,,,mg/L,8.00E-05,,,,
V100000013,,,,,,,,,mg/L,0.00015,,,,
V100000014,,,,,,,,,mg/L,0.00015,,,,
V100000015,,,,,,,,,mg/L,0.00011,,,,
V100000016,,,,,,,,,mg/L,0.00018,,,,
V100000017,,,,,,,,,mg/L,0.00065,,,,
V100000018,,,,,,,,,mg/L,5.00E-05,,,,
V100000019,,,,,,,,,mg/L,0.00022,,,,
V100000020,,,,,,,,,mg/L,0.00073,,,,
V100000021,,,,,,,,,mg/L,4.00E-05,,,,
V100000022,,,,,,,,,mg/L,0.00029,,,,
V100000023,,,,,,,,,mg/L,0.00017,,,,
V100000024,,,,,,,,,mg/L,0.00064,,,,
V100000025,,,,,,,,,mg/L,0.00046,,,,
V100000026,,,,,,,,,mg/L,4.00E-05,,,,
V100000027,,,,,,,,,mg/L,0.00054,,,,
V100000028,,,,,,,,,mg/L,0.00031,,,,
V100000029,,,,,,,,,mg/L,0.00019,,,,
V100000030,,,,,,,,,mg/L,7.00E-05,,,,
V100000031,,,,,,,,,mg/L,0.00027,,,,
V100000032,,,,,,,,,mg/L,0.00028,,,,
V100000033,,,,,,,,,mg/L,3.00E-05,,,,
V100000034,,,,,,,,,mg/L,3.00E-05,,,,
V100000035,,,,,,,,,mg/L,0.00024,,,,
V100000036,,,,,,,,,mg/L,0.00071,,,,
V100000037,,,,,,,,,mg/L,0.00079,,,,
V100000038,,,,,,,,,mg/L,0.00031,,,,
V100000039,,,,,,,,,mg/L,0.00086,,,,
V100000040,,,,,,,,,mg/L,9.00E-05,,,,
V100000041,,,,,,,,,mg/L,0.00057,,,,
V100000042,,,,,,,,,mg/L,0.00031,,,,
